CHI ID COM,HS ID HS4,Exports,Imports
1,804.0,145920.0,0.0
1,805.0,759585.6,0.0
1,806.0,6168710.39,0.0
1,808.0,20563.25,0.0
1,809.0,5574752.0,0.0
1,810.0,199900.8,0.0
1,901.0,0.0,3908.21
1,2403.0,0.0,1370.0
1,3303.0,0.0,195.14
1,3304.0,0.0,1055.14
1,3926.0,0.0,755.61
1,4015.0,0.0,586.13
1,4202.0,0.0,2863.85
1,4820.0,0.0,4375.87
1,4901.0,0.0,39355.06
1,4902.0,0.0,663.75
1,4903.0,0.0,238.12
1,4909.0,0.0,18.5
1,4911.0,0.0,108.74
1,5806.0,0.0,195.32
1,5810.0,0.0,510.93
1,6101.0,0.0,4991.23
1,6102.0,0.0,5247.34
1,6104.0,0.0,2567.2
1,6105.0,0.0,460.87
1,6106.0,0.0,73.61
1,6107.0,0.0,39.07
1,6109.0,0.0,15040.57
1,6110.0,0.0,1147.27
1,6111.0,0.0,325.7
1,6114.0,0.0,580.16
1,6115.0,0.0,12.29
1,6116.0,0.0,44.26
1,6117.0,0.0,456.6
1,6201.0,0.0,3508.13
1,6202.0,0.0,618.91
1,6203.0,0.0,13746.42
1,6204.0,0.0,9408.55
1,6205.0,0.0,1957.81
1,6206.0,0.0,122.34
1,6209.0,0.0,45.5
1,6307.0,0.0,17405.93
1,6309.0,0.0,528.3
1,6402.0,0.0,10999.29
1,6403.0,0.0,4250.06
1,6404.0,0.0,515.6
1,6505.0,0.0,2802.91
1,6914.0,0.0,1408.7
1,7113.0,0.0,7134.1
1,7117.0,0.0,7853.87
1,7308.0,0.0,70.79
1,7312.0,0.0,9363.72
1,7321.0,0.0,2253.38
1,7326.0,0.0,2821.73
1,8308.0,0.0,163.96
1,8412.0,0.0,1213.32
1,8413.0,0.0,1908.81
1,8415.0,0.0,574706.4
1,8419.0,0.0,10444.66
1,8421.0,0.0,46746.53
1,8424.0,0.0,8633.0
1,8430.0,0.0,12502.0
1,8436.0,0.0,8408.46
1,8438.0,0.0,5957.33
1,8467.0,0.0,600.9
1,8471.0,0.0,1171.14
1,8479.0,0.0,180928.16
1,8481.0,0.0,983.47
1,8483.0,0.0,1612.96
1,8501.0,0.0,92918.26
1,8502.0,0.0,1905.07
1,8504.0,0.0,240.62
1,8512.0,0.0,1212.32
1,8518.0,0.0,1871.48
1,8526.0,0.0,611.14
1,8528.0,0.0,3473.0
1,8537.0,0.0,44039.61
1,8541.0,0.0,3605.7
1,8543.0,0.0,2094.8
1,8609.0,0.0,869.42
1,8703.0,0.0,51876.15
1,8705.0,0.0,30212.81
1,8716.0,0.0,13010.78
1,8903.0,0.0,26323.45
1,9019.0,0.0,9875.05
1,9302.0,0.0,1696.91
1,9304.0,0.0,1920.0
1,9401.0,0.0,3331.66
1,9405.0,0.0,5369.32
1,9506.0,0.0,723.34
1,9615.0,0.0,30.84
2,811.0,106900.0,0.0
2,2204.0,1658030.0,0.0
2,2608.0,4040041.2,0.0
2,2616.0,500.0,20584.37
2,2620.0,0.0,1740.33
2,3802.0,0.0,498779.16
2,3822.0,0.0,78.81
2,4016.0,0.0,247069.44
2,4910.0,0.0,4823.41
2,6506.0,0.0,4281.5
2,6903.0,0.0,61273.09
2,7106.0,388622588.05,1723.5
2,7108.0,254535347.72,0.0
2,7304.0,0.0,1031.53
2,7307.0,0.0,2758.77
2,7326.0,0.0,678.04
2,7401.0,21926.86,0.0
2,8408.0,0.0,200.0
2,8411.0,0.0,2005.98
2,8412.0,0.0,40103.79
2,8413.0,0.0,21873.75
2,8414.0,0.0,107848.24
2,8417.0,0.0,638527.38
2,8421.0,0.0,4792758.28
2,8431.0,0.0,5393.69
2,8474.0,0.0,2216735.06
2,8481.0,0.0,2762.17
2,8483.0,0.0,68450.02
2,8484.0,0.0,1772.12
2,8487.0,0.0,699.54
2,8501.0,0.0,6384.84
2,8504.0,0.0,37.93
2,8516.0,0.0,1165.81
2,8518.0,0.0,1411.77
2,8529.0,0.0,24153.0
2,8531.0,0.0,6499.18
2,8535.0,0.0,3987.71
2,8536.0,0.0,4767.38
2,8537.0,0.0,164971.99
2,8538.0,0.0,19425.92
2,8541.0,0.0,6571.93
2,8544.0,0.0,15387.12
2,8609.0,0.0,58496.76
2,8708.0,0.0,1100.05
2,9026.0,0.0,6707.79
2,9027.0,0.0,115803.11
2,9031.0,0.0,986.22
3,3918.0,0.0,1729.35
3,3924.0,0.0,5197.5
3,4009.0,0.0,182.96
3,4011.0,0.0,661.69
3,4419.0,0.0,636.11
3,4811.0,0.0,1058.71
3,6302.0,0.0,1165.09
3,6702.0,0.0,3831.34
3,6911.0,0.0,604.85
3,6912.0,0.0,2268.67
3,7013.0,0.0,5075.07
3,7318.0,0.0,202.2
3,7326.0,0.0,15.56
3,8409.0,0.0,1974.73
3,8413.0,0.0,456.83
3,8419.0,0.0,15277.35
3,8421.0,0.0,170.32
3,8429.0,0.0,2123482.37
3,8431.0,0.0,10251.56
3,8432.0,0.0,511.38
3,8433.0,0.0,25364.09
3,8465.0,0.0,19900.0
3,8539.0,0.0,2586.39
3,8543.0,0.0,196.69
3,8701.0,0.0,9012.22
3,8708.0,0.0,813.22
3,8712.0,0.0,4064.0
3,8716.0,0.0,4394.48
3,9105.0,0.0,1388.02
3,9401.0,0.0,596.53
3,9503.0,0.0,4174.06
3,9505.0,0.0,565.43
3,9506.0,0.0,5430.26
4,2204.0,21102.89,0.0
4,7309.0,0.0,5254.77
4,8408.0,0.0,1799.0
5,303.0,304979.0,0.0
5,305.0,53375.0,0.0
5,511.0,62100.0,0.0
5,701.0,0.0,350.94
5,712.0,0.0,30.83
5,904.0,0.0,2920.65
5,909.0,0.0,4453.53
5,910.0,0.0,784.17
5,1008.0,0.0,5508.87
5,1108.0,0.0,608.3
5,1202.0,0.0,350.96
5,1404.0,0.0,20204.38
5,1904.0,0.0,88089.9
5,1905.0,0.0,140.37
5,2008.0,0.0,20821.1
5,2103.0,0.0,46.61
5,2503.0,0.0,2352724.89
5,2520.0,0.0,2933.6
5,2711.0,0.0,22341.06
5,3102.0,0.0,10234687.3
5,3204.0,0.0,327.34
5,3303.0,0.0,82.8
5,3304.0,0.0,505.03
5,3602.0,0.0,3316381.49
5,3603.0,0.0,8976620.15
5,3903.0,0.0,395229.7
5,3915.0,0.0,1024.7
5,3917.0,0.0,15724.57
5,3923.0,0.0,54709.25
5,3924.0,0.0,10.85
5,3925.0,0.0,1776.6
5,3926.0,0.0,39388.18
5,4003.0,327.78,0.0
5,4004.0,1243.61,0.0
5,4005.0,0.0,8279.81
5,4009.0,0.0,1077.84
5,4011.0,91155.0,0.0
5,4017.0,327.78,0.0
5,4202.0,0.0,2264.53
5,4203.0,0.0,338.91
5,4402.0,0.0,3936.0
5,4414.0,0.0,15.12
5,4707.0,0.0,133348.64
5,4818.0,0.0,507.44
5,4819.0,0.0,11555.99
5,4821.0,0.0,14230.01
5,4910.0,0.0,4742.67
5,5109.0,0.0,149.21
5,5607.0,0.0,2629.74
5,5806.0,0.0,30101.01
5,5807.0,0.0,79.05
5,5808.0,0.0,35.83
5,6101.0,0.0,28.46
5,6109.0,0.0,2994.51
5,6110.0,0.0,2970.97
5,6114.0,0.0,232.46
5,6115.0,0.0,503.28
5,6116.0,0.0,418.46
5,6117.0,0.0,120.15
5,6201.0,0.0,25.68
5,6202.0,0.0,627.69
5,6203.0,0.0,1302.47
5,6204.0,0.0,3059.64
5,6207.0,0.0,353.07
5,6211.0,0.0,936.67
5,6301.0,245597.6,0.0
5,6306.0,0.0,6820.46
5,6307.0,22269.0,0.0
5,6309.0,0.0,5218.47
5,6401.0,60.96,0.0
5,6402.0,0.0,1276.0
5,6505.0,0.0,24.05
5,6902.0,0.0,1071.99
5,6904.0,0.0,2049.05
5,6907.0,0.0,928.83
5,6913.0,0.0,186.95
5,7017.0,0.0,1196.96
5,7204.0,32301.0,1692.3
5,7208.0,5312.76,0.0
5,7214.0,458.85,44235.89
5,7216.0,10536.75,0.0
5,7308.0,0.0,7336.49
5,7312.0,0.0,4333.09
5,7315.0,0.0,25021.78
5,7317.0,0.0,3126.76
5,7318.0,0.0,9149.08
5,7324.0,0.0,18.08
5,7326.0,1500.0,77982.41
5,7607.0,0.0,5100.0
5,8203.0,0.0,2915.69
5,8204.0,0.0,2815.87
5,8205.0,0.0,4065.22
5,8206.0,0.0,1164.13
5,8303.0,0.0,12.66
5,8407.0,354930.0,2050.0
5,8408.0,48750.0,35054.55
5,8409.0,92404.5,4291.6
5,8412.0,0.0,2429.06
5,8413.0,15473.0,3931.52
5,8414.0,22676.23,3093.54
5,8418.0,2700.0,1790.89
5,8419.0,0.0,1044.2
5,8421.0,940.79,24249.43
5,8422.0,0.0,4771.86
5,8423.0,0.0,94500.0
5,8424.0,0.0,9.04
5,8425.0,0.0,10828.54
5,8426.0,188990.19,1683647.39
5,8427.0,2699.3,35422.22
5,8429.0,173880.5,251187.43
5,8430.0,0.0,4380.0
5,8431.0,3350.0,21340.75
5,8443.0,0.0,27.13
5,8446.0,9500.0,0.0
5,8447.0,166.6,0.0
5,8450.0,943.3,0.0
5,8462.0,0.0,35553.01
5,8465.0,0.0,1980.0
5,8466.0,0.0,1070.22
5,8467.0,0.0,38310.34
5,8471.0,1751.55,159.36
5,8473.0,0.0,422.08
5,8474.0,100.0,2644.89
5,8477.0,0.0,2785.61
5,8479.0,0.0,48063.93
5,8483.0,4326.5,30799.52
5,8484.0,0.0,1011.22
5,8487.0,0.0,873.08
5,8501.0,0.0,53240.78
5,8502.0,1500.0,0.0
5,8503.0,0.0,2680.4
5,8504.0,0.0,1323.61
5,8507.0,0.0,3309.02
5,8511.0,19073.5,0.0
5,8512.0,22799.0,0.0
5,8515.0,0.0,11705.47
5,8516.0,0.0,41.6
5,8518.0,0.0,99.45
5,8523.0,0.0,6323.89
5,8525.0,0.0,144.67
5,8526.0,0.0,3309.02
5,8528.0,900.33,1956.6
5,8529.0,0.0,594.0
5,8536.0,0.0,2369.31
5,8544.0,0.0,15190.46
5,8546.0,0.0,998.75
5,8609.0,800.0,5978.76
5,8701.0,74418.11,6627.0
5,8702.0,124000.0,85298.77
5,8703.0,1436110.35,333585.13
5,8704.0,144302.16,404720.62
5,8705.0,0.0,673229.09
5,8707.0,0.0,18100.0
5,8708.0,157650.0,202987.92
5,8711.0,3950.0,10474.0
5,8716.0,257132.84,523931.41
5,8903.0,0.0,12882.12
5,9018.0,0.0,30791.59
5,9021.0,0.0,389.39
5,9026.0,4051.5,0.0
5,9031.0,0.0,1190.0
5,9032.0,0.0,1936.12
5,9202.0,0.0,1482.42
5,9205.0,0.0,267.1
5,9207.0,0.0,2649.79
5,9401.0,6258.0,838.39
5,9403.0,0.0,1192.06
5,9405.0,0.0,36.17
5,9503.0,0.0,1500.07
5,9504.0,0.0,9.04
5,9505.0,0.0,9.04
5,9506.0,0.0,139.49
5,9609.0,0.0,48.48
5,9617.0,0.0,3.62
6,207.0,0.0,365548.2
6,302.0,26270926.04,0.0
6,303.0,109601408.11,167614.27
6,304.0,171846331.55,0.0
6,305.0,61234080.61,0.0
6,306.0,119507.2,0.0
6,307.0,7510566.41,343.21
6,406.0,0.0,113228.51
6,712.0,0.0,38087.93
6,813.0,19900.0,0.0
6,904.0,0.0,64209.6
6,906.0,0.0,35037.37
6,910.0,0.0,60647.58
6,1106.0,7600.0,0.0
6,1211.0,0.0,9024.7
6,1212.0,183768.02,0.0
6,1214.0,0.0,14910.0
6,1404.0,1988916.5,0.0
6,1604.0,89676.82,39286.73
6,1605.0,41321604.7,0.0
6,2005.0,5216.4,2739.85
6,2103.0,55312.99,12360.2
6,2209.0,0.0,11100.81
6,3208.0,0.0,235228.49
6,3402.0,0.0,8606.99
6,3824.0,0.0,265.51
6,3923.0,0.0,91290.46
6,3926.0,4056.98,6604.3
6,4016.0,0.0,3377.94
6,4202.0,0.0,65.28
6,4818.0,0.0,22225.61
6,4819.0,54769.36,0.0
6,4823.0,0.0,45.23
6,5607.0,0.0,52208.0
6,5910.0,0.0,354.27
6,6305.0,0.0,31670.06
6,6309.0,0.0,22075.36
6,6401.0,0.0,825.0
6,6402.0,0.0,1443.78
6,6403.0,0.0,6007.7
6,6404.0,0.0,280.0
6,6405.0,0.0,1808.25
6,6804.0,0.0,275.92
6,7007.0,0.0,42.58
6,7117.0,0.0,7135.4
6,7307.0,0.0,92.25
6,7310.0,0.0,1519278.12
