BRA ID MIR,HS ID HS4,Exports,Imports
1ac0100,801,5319389.0,128000.0
1ac0100,2302,8938.0,7802.0
1ac0100,2523,251182.0,1593328.0
1ac0100,3824,107663.0,18960.0
1ac0100,3917,1514657.0,10296.0
1ac0100,3919,31200.0,2217.0
1ac0100,3923,8220.0,7619.0
1ac0100,3924,2677.0,12518.0
1ac0100,3925,314530.0,380.0
1ac0100,3926,1182.0,917.0
1ac0100,4016,103.0,6182.0
1ac0100,4407,28372.0,289760.0
1ac0100,5607,11576.0,9170.0
1ac0100,5909,735.0,2047.0
1ac0100,6306,31541.0,1134.0
1ac0100,6307,486.0,386.0
1ac0100,6804,1745.0,1672.0
1ac0100,6907,33040.0,104860.0
1ac0100,6908,2400446.0,41480.0
1ac0100,6910,65026.0,20795.0
1ac0100,7016,360.0,4429.0
1ac0100,7216,684636.0,5585.0
1ac0100,7217,36156.0,28144.0
1ac0100,7306,236099.0,9141.0
1ac0100,7308,539139.0,19010.0
1ac0100,7313,4930.0,4393.0
1ac0100,7314,15389.0,10396.0
1ac0100,7317,197509.0,5310.0
1ac0100,7318,29931.0,13315.0
1ac0100,7326,23422.0,732.0
1ac0100,7615,8208.0,490.0
1ac0100,7616,6650.0,6866.0
1ac0100,7905,7056.0,57914.0
1ac0100,7907,159.0,4697.0
1ac0100,8201,11962.0,3723.0
1ac0100,8202,2788.0,3271.0
1ac0100,8203,17553.0,259.0
1ac0100,8204,5.0,15506.0
1ac0100,8205,3947.0,6960.0
1ac0100,8207,4476.0,743.0
1ac0100,8301,61519.0,10454.0
1ac0100,8311,1943.0,669.0
1ac0100,8413,22112.0,520.0
1ac0100,8424,57344.0,3595.0
1ac0100,8429,208859.0,225744.0
1ac0100,8462,844.0,8500.0
1ac0100,8466,93.0,226.0
1ac0100,8467,6330.0,1391.0
1ac0100,8481,118229.0,4903.0
1ac0100,8513,72.0,334.0
1ac0100,8536,13451.0,202.0
1ac0100,8716,11961.0,3610.0
1ac0100,9401,5108.0,1751.0
1ac0100,9405,44872.0,28537.0
1ac0100,9603,11632.0,1537.0
1ac0101,2523,9988.0,1657024.0
1ac0101,4016,26.0,17905.0
1ac0101,4407,1672268.0,5635.0
1ac0101,8481,3934.0,246.0
1am0001,8411,115000.0,255597.0
1am0002,303,95236.0,83842.0
1am0002,801,5982320.0,19978.0
1am0002,811,58042.0,3937.0
1am0002,1301,2336594.0,5133385.0
1am0002,1302,366552.0,10202611.0
1am0002,1513,612.0,151591.0
1am0002,1515,667.0,9432.0
1am0002,1702,217464.0,256455.0
1am0002,2008,313681.0,16492.0
1am0002,2009,15433.0,76032.0
1am0002,2101,15176887.0,11283037.0
1am0002,2106,899917799.0,37549326.0
1am0002,2207,2.0,230.0
1am0002,2501,1386.0,39745.0
1am0002,2504,43.0,596019.0
1am0002,2517,56063.0,1838.0
1am0002,2523,3486850.0,101753297.0
1am0002,2710,25308713.0,1865524717.0
1am0002,2712,16.0,16286.0
1am0002,2809,34766.0,501249.0
1am0002,2811,11.0,113126.0
1am0002,2812,7464.0,81922.0
1am0002,2817,184854.0,68923.0
1am0002,2819,11380.0,456858.0
1am0002,2827,12675.0,15252.0
1am0002,2832,14.0,1409249.0
1am0002,2833,24673.0,167749.0
1am0002,2835,157769.0,1882137.0
1am0002,2837,185149.0,328005.0
1am0002,2841,16595.0,16651.0
1am0002,2843,66410116.0,2059119.0
1am0002,2844,3500.0,35908.0
1am0002,2905,52824.0,1804523.0
1am0002,2909,16485.0,2964376.0
1am0002,2911,1684.0,4673.0
1am0002,2912,15777.0,420146.0
1am0002,2915,58658.0,2993187.0
1am0002,2916,298819.0,29894328.0
1am0002,2917,2456.0,1070982.0
1am0002,2918,328372.0,13877844.0
1am0002,2921,11250.0,751273.0
1am0002,2922,171251.0,551341.0
1am0002,2924,15043.0,5177689.0
1am0002,2929,50100.0,5146978.0
1am0002,2931,7629.0,3239.0
1am0002,2932,690664.0,5272279.0
1am0002,2934,299.0,3554076.0
1am0002,2936,27025.0,839358.0
1am0002,2938,319873.0,10763289.0
1am0002,2939,5143784.0,39694876.0
1am0002,2940,262591.0,1971737.0
1am0002,3006,37422.0,480901.0
1am0002,3104,961.0,2121.0
1am0002,3201,15795.0,335702.0
1am0002,3204,162443.0,22664358.0
1am0002,3206,1275.0,3907161.0
1am0002,3207,544.0,3206.0
1am0002,3208,1466.0,10063024.0
1am0002,3209,92576.0,1294489.0
1am0002,3210,22.0,48211.0
1am0002,3215,32485.0,6626864.0
1am0002,3301,2358246.0,9984814.0
1am0002,3302,2860320.0,172768243.0
1am0002,3304,36572.0,3130060.0
1am0002,3305,154948.0,299916.0
1am0002,3307,56497.0,714083.0
1am0002,3401,28653.0,166191.0
1am0002,3402,11510935.0,4582849.0
1am0002,3403,1230.0,705816.0
1am0002,3405,2616955.0,194819.0
1am0002,3505,61162.0,223136.0
1am0002,3506,66410.0,19334673.0
1am0002,3606,317100.0,2124864.0
