BRA ID MIR,HS ID HS4,Year,Exports,Imports
1am0002,2101,2014,2371045.0,2940086.0
1am0002,2106,2011,157029539.0,8933913.0
1am0002,2106,2012,200216700.0,8956921.0
1am0002,2106,2013,289254631.0,7655517.0
1am0002,2106,2014,253416929.0,12002975.0
1am0002,2207,2013,2.0,230.0
1am0002,2501,2014,1386.0,39745.0
1am0002,2504,2011,43.0,596019.0
1am0002,2517,2012,56063.0,1838.0
1am0002,2523,2011,392510.0,21077691.0
1am0002,2523,2012,941321.0,27336609.0
1am0002,2523,2013,1283398.0,25877197.0
1am0002,2523,2014,869621.0,27461800.0
1am0002,2710,2011,10839413.0,689931390.0
1am0002,2710,2012,12.0,771913195.0
1am0002,2710,2014,14469288.0,403680132.0
1am0002,2712,2013,16.0,16286.0
1am0002,2809,2013,33843.0,79501.0
1am0002,2809,2014,923.0,421748.0
1am0002,2811,2011,11.0,113126.0
1am0002,2812,2014,7464.0,81922.0
1am0002,2817,2012,184854.0,68923.0
1am0002,2819,2011,11380.0,456858.0
1am0002,2827,2013,8614.0,6185.0
1am0002,2827,2014,4061.0,9067.0
1am0002,2832,2013,14.0,1409249.0
1am0002,2833,2012,1165.0,47961.0
1am0002,2833,2013,21398.0,55052.0
1am0002,2833,2014,2110.0,64736.0
1am0002,2835,2011,6608.0,242518.0
1am0002,2835,2012,37760.0,607417.0
1am0002,2835,2013,54596.0,578937.0
1am0002,2835,2014,58805.0,453265.0
1am0002,2837,2013,77047.0,192995.0
1am0002,2837,2014,108102.0,135010.0
1am0002,2841,2011,604.0,16284.0
1am0002,2841,2013,15991.0,367.0
1am0002,2843,2011,16236451.0,703366.0
1am0002,2843,2012,11561177.0,585433.0
1am0002,2843,2013,26822969.0,386783.0
1am0002,2843,2014,11789519.0,383537.0
1am0002,2844,2011,1000.0,8910.0
1am0002,2844,2013,2500.0,26998.0
1am0002,2905,2011,689.0,33393.0
1am0002,2905,2013,10.0,824079.0
1am0002,2905,2014,52125.0,947051.0
1am0002,2909,2011,6515.0,1095375.0
1am0002,2909,2012,413.0,1859523.0
1am0002,2909,2014,9557.0,9478.0
1am0002,2911,2014,1684.0,4673.0
1am0002,2912,2011,15750.0,129768.0
1am0002,2912,2012,5.0,114483.0
1am0002,2912,2013,22.0,175895.0
1am0002,2915,2011,2618.0,703787.0
1am0002,2915,2012,1020.0,949089.0
1am0002,2915,2013,43277.0,647060.0
1am0002,2915,2014,11743.0,693251.0
1am0002,2916,2011,219924.0,5566782.0
1am0002,2916,2012,26838.0,8247689.0
1am0002,2916,2013,30872.0,7654754.0
1am0002,2916,2014,21185.0,8425103.0
1am0002,2917,2012,2456.0,1070982.0
1am0002,2918,2011,46835.0,2972848.0
1am0002,2918,2012,3892.0,2075929.0
1am0002,2918,2013,249833.0,4455636.0
1am0002,2918,2014,27812.0,4373431.0
1am0002,2921,2013,11250.0,751273.0
1am0002,2922,2011,13252.0,90928.0
1am0002,2922,2012,72889.0,90413.0
1am0002,2922,2013,80003.0,94902.0
1am0002,2922,2014,5107.0,275098.0
1am0002,2924,2013,13916.0,2504582.0
1am0002,2924,2014,1127.0,2673107.0
1am0002,2929,2012,14100.0,2930644.0
1am0002,2929,2013,36000.0,2216334.0
1am0002,2931,2013,7629.0,3239.0
1am0002,2932,2011,268393.0,2531154.0
1am0002,2932,2012,70.0,1499148.0
1am0002,2932,2013,365804.0,971935.0
1am0002,2932,2014,56397.0,270042.0
1am0002,2934,2013,298.0,1497027.0
1am0002,2934,2014,1.0,2057049.0
1am0002,2936,2011,2521.0,290052.0
1am0002,2936,2013,14365.0,316407.0
1am0002,2936,2014,10139.0,232899.0
1am0002,2938,2013,42365.0,5130993.0
1am0002,2938,2014,277508.0,5632296.0
1am0002,2939,2011,1635822.0,5545700.0
1am0002,2939,2012,1452524.0,10797044.0
1am0002,2939,2013,808455.0,13386505.0
1am0002,2939,2014,1246983.0,9965627.0
1am0002,2940,2011,653.0,444615.0
1am0002,2940,2012,92.0,716430.0
1am0002,2940,2014,261846.0,810692.0
1am0002,3006,2011,26925.0,459397.0
1am0002,3006,2012,10497.0,21504.0
1am0002,3104,2012,681.0,240.0
1am0002,3104,2013,126.0,1123.0
1am0002,3104,2014,154.0,758.0
1am0002,3201,2011,6718.0,204730.0
1am0002,3201,2012,9077.0,130972.0
1am0002,3204,2011,54129.0,5897547.0
1am0002,3204,2012,71163.0,5844946.0
1am0002,3204,2013,2403.0,5828929.0
1am0002,3204,2014,34748.0,5092936.0
1am0002,3206,2011,1275.0,3907161.0
1am0002,3207,2011,544.0,3206.0
1am0002,3208,2012,1275.0,5145366.0
1am0002,3208,2014,191.0,4917658.0
